19:12:27.438 | D | Compile              |     0 个警告
19:12:27.438 | D | Compile              |     0 个错误
19:12:27.438 | D | Compile              | 
19:12:27.438 | D | Compile              | 已用时间 00:00:04.08
19:12:27.496 | V | Compile              | Telemetry.OnTargetSucceeded (0)
19:12:27.496 | V | Compile              | EventInvoker.OnTargetSucceeded (-3.4028235E+38)
19:12:27.498 | V | UnitTest             | EventInvoker.OnTargetRunning (-3.4028235E+38)
19:12:27.573 | I | UnitTest             | > "C:\Program Files\dotnet\dotnet.exe" test C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.Tests\DesignPatterns.Tests.csproj --configuration Release --no-build --results-directory C:\Code\Skymly\DesignPatterns\TestResults --logger trx;LogFileName=DesignPatterns.Tests.trx
19:12:27.573 | V | UnitTest             | @ C:\Code\Skymly\DesignPatterns
19:12:28.070 | D | UnitTest             | C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.Tests\bin\Release\net8.0\DesignPatterns.Tests.dll (.NETCoreApp,Version=v8.0)的测试运行
19:12:28.214 | D | UnitTest             | 总共 1 个测试文件与指定模式相匹配。
19:12:28.617 | D | UnitTest             | 结果文件: C:\Code\Skymly\DesignPatterns\TestResults\DesignPatterns.Tests.trx
19:12:28.617 | D | UnitTest             | 
19:12:28.618 | D | UnitTest             | 已通过! - 失败:     0，通过:    98，已跳过:     0，总计:    98，持续时间: 13 ms - DesignPatterns.Tests.dll (net8.0)
19:12:28.696 | I | UnitTest             | > "C:\Program Files\dotnet\dotnet.exe" test C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.SourceGenerators.Tests\DesignPatterns.SourceGenerators.Tests.csproj --configuration Release --no-build --results-directory C:\Code\Skymly\DesignPatterns\TestResults --logger trx;LogFileName=DesignPatterns.SourceGenerators.Tests.trx
19:12:28.696 | V | UnitTest             | @ C:\Code\Skymly\DesignPatterns
19:12:29.115 | D | UnitTest             | C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.SourceGenerators.Tests\bin\Release\net8.0\DesignPatterns.SourceGenerators.Tests.dll (.NETCoreApp,Version=v8.0)的测试运行
19:12:29.256 | D | UnitTest             | 总共 1 个测试文件与指定模式相匹配。
19:12:30.627 | D | UnitTest             | 结果文件: C:\Code\Skymly\DesignPatterns\TestResults\DesignPatterns.SourceGenerators.Tests.trx
19:12:30.627 | D | UnitTest             | 
19:12:30.628 | D | UnitTest             | 已通过! - 失败:     0，通过:    33，已跳过:     0，总计:    33，持续时间: 978 ms - DesignPatterns.SourceGenerators.Tests.dll (net8.0)
19:12:30.707 | I | UnitTest             | > "C:\Program Files\dotnet\dotnet.exe" test C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.Analyzers.Tests\DesignPatterns.Analyzers.Tests.csproj --configuration Release --no-build --results-directory C:\Code\Skymly\DesignPatterns\TestResults --logger trx;LogFileName=DesignPatterns.Analyzers.Tests.trx
19:12:30.708 | V | UnitTest             | @ C:\Code\Skymly\DesignPatterns
19:12:31.119 | D | UnitTest             | C:\Code\Skymly\DesignPatterns\tests\DesignPatterns.Analyzers.Tests\bin\Release\net8.0\DesignPatterns.Analyzers.Tests.dll (.NETCoreApp,Version=v8.0)的测试运行
19:12:31.262 | D | UnitTest             | 总共 1 个测试文件与指定模式相匹配。
19:12:32.556 | D | UnitTest             | 结果文件: C:\Code\Skymly\DesignPatterns\TestResults\DesignPatterns.Analyzers.Tests.trx
19:12:32.556 | D | UnitTest             | 
